From,To,Capacity,Length,FreeFlowTime,B,Power,SpeedLimit,CriticalSpeed,Lanes,overall_capacity,Overall_capacity
1,1371,900.0,0.3,0.327,0.282,4.0,55,42.9,2,1800.0,1800.0
2,2012,1600.0,0.26,0.173,0.282,4.0,90,70.2,2,3200.0,3200.0
3,2402,1100.0,0.2,0.2,0.282,4.0,60,46.8,2,2200.0,2200.0
4,1875,800.0,0.16,0.128,0.282,4.0,75,58.5,1,800.0,800.0
5,1880,800.0,0.2,0.171,0.282,4.0,70,54.6,1,800.0,800.0
6,1894,800.0,0.25,0.231,0.282,4.0,65,50.7,1,800.0,800.0
7,1970,800.0,0.52,0.48,0.282,4.0,65,50.7,1,800.0,800.0
8,1977,600.0,0.33,0.44,0.667,4.0,45,27.0,1,600.0,600.0
9,3448,600.0,0.31,0.338,0.667,4.0,55,33.0,1,600.0,600.0
10,2012,1600.0,0.26,0.173,0.282,4.0,90,70.2,2,3200.0,3200.0
11,2867,600.0,0.45,0.491,0.667,4.0,55,33.0,5,3000.0,3000.0
12,3627,400.0,0.18,0.27,0.667,4.0,40,24.0,1,400.0,400.0
13,3499,1800.0,0.49,0.267,0.225,4.0,110,89.8,4,7200.0,7200.0
14,3499,1800.0,0.49,0.267,0.225,4.0,110,89.8,4,7200.0,7200.0
15,3441,700.0,0.15,0.164,0.667,4.0,55,33.0,2,1400.0,1400.0
16,3576,800.0,0.36,0.36,0.282,4.0,60,46.8,1,800.0,800.0
17,3839,400.0,1.16,2.32,0.667,4.0,30,18.0,1,400.0,400.0
18,2452,1800.0,0.27,0.675,0.0,4.0,24,24.0,5,9000.0,9000.0
19,2795,1800.0,0.44,1.1,0.0,4.0,24,24.0,5,9000.0,9000.0
20,2166,1800.0,0.22,0.55,0.0,4.0,24,24.0,5,9000.0,9000.0
21,3843,1800.0,0.22,0.55,0.0,4.0,24,24.0,5,9000.0,9000.0
22,3309,1800.0,0.28,0.7,0.0,4.0,24,24.0,5,9000.0,9000.0
23,3350,1800.0,0.29,0.725,0.0,4.0,24,24.0,5,9000.0,9000.0
24,3728,1800.0,0.2,0.5,0.0,4.0,24,24.0,5,9000.0,9000.0
25,3419,1800.0,0.35,0.875,0.0,4.0,24,24.0,5,9000.0,9000.0
25,3718,1800.0,0.36,0.9,0.0,4.0,24,24.0,5,9000.0,9000.0
26,4769,1800.0,0.35,0.875,0.0,4.0,24,24.0,5,9000.0,9000.0
27,3885,1800.0,0.08,0.2,0.0,4.0,24,24.0,5,9000.0,9000.0
28,3710,1800.0,0.18,0.45,0.0,4.0,24,24.0,5,9000.0,9000.0
29,2791,1800.0,0.45,1.125,0.0,4.0,24,24.0,5,9000.0,9000.0
30,3730,1800.0,0.48,1.2,0.0,4.0,24,24.0,5,9000.0,9000.0
31,3882,1800.0,0.34,0.85,0.0,4.0,24,24.0,5,9000.0,9000.0
32,2799,1800.0,0.23,0.575,0.0,4.0,24,24.0,5,9000.0,9000.0
33,1069,1800.0,0.29,0.725,0.0,4.0,24,24.0,5,9000.0,9000.0
34,2165,1800.0,0.21,0.525,0.0,4.0,24,24.0,5,9000.0,9000.0
35,2982,1800.0,0.26,0.65,0.0,4.0,24,24.0,5,9000.0,9000.0
36,2981,1800.0,0.1,0.25,0.0,4.0,24,24.0,5,9000.0,9000.0
37,2978,1800.0,0.19,0.475,0.0,4.0,24,24.0,5,9000.0,9000.0
38,3174,1800.0,0.2,0.5,0.0,4.0,24,24.0,5,9000.0,9000.0
39,2852,1800.0,0.28,0.7,0.0,4.0,24,24.0,5,9000.0,9000.0
40,2180,1800.0,0.22,0.55,0.0,4.0,24,24.0,5,9000.0,9000.0
41,1891,1800.0,0.31,0.775,0.0,4.0,24,24.0,5,9000.0,9000.0
42,3202,1800.0,0.32,0.8,0.0,4.0,24,24.0,5,9000.0,9000.0
43,1968,1800.0,0.23,0.575,0.0,4.0,24,24.0,5,9000.0,9000.0
44,2531,1800.0,0.19,0.475,0.0,4.0,24,24.0,5,9000.0,9000.0
45,2816,1800.0,0.35,0.875,0.0,4.0,24,24.0,5,9000.0,9000.0
46,1978,1800.0,0.4,1.0,0.0,4.0,24,24.0,5,9000.0,9000.0
47,3292,1800.0,1.33,3.325,0.0,4.0,24,24.0,5,9000.0,9000.0
