node,in_degree,out_degree
1,0,3
1782,1,1
2852,4,5
5089,1,0
2,0,4
325,1,1
338,2,2
342,7,2
3531,8,0
3,0,2
761,2,7
2885,1,1
4,0,2
3051,3,2
5,0,5
782,3,4
1784,2,3
4065,6,0
4599,1,0
5100,1,0
6,0,4
15,1,4
330,2,2
2910,3,2
7,0,2
3460,3,2
4066,2,0
8,0,1
4067,3,0
9,0,4
1976,2,2
1977,2,2
4068,5,0
5243,2,0
10,0,10
1613,4,8
1742,3,13
2392,2,2
3078,4,4
3682,3,4
5182,1,0
5183,1,0
5184,1,0
5242,1,0
11,0,4
462,2,0
3783,2,0
4069,7,0
4070,8,0
12,0,2
1202,1,1
3021,1,1
13,0,1
2315,1,1
14,0,4
721,1,3
803,1,1
2331,6,4
5578,2,0
332,4,2
340,1,1
344,1,1
16,0,6
22,1,5
157,1,1
175,1,5
227,1,1
1260,3,6
4209,2,0
17,0,2
634,2,7
2578,3,4
18,0,2
19,0,3
326,1,2
819,3,2
3414,2,0
20,0,1
4071,4,0
21,0,1
170,1,1
199,1,1
229,4,3
3871,2,1
23,0,2
2611,4,2
3911,1,1
24,0,4
25,1,1
184,3,0
238,2,0
2175,2,7
26,0,7
831,2,1
3275,4,3
3398,2,0
6478,2,0
6479,2,0
6480,2,0
6481,2,0
27,0,1
4072,3,0
28,0,4
534,1,3
561,1,1
1879,3,2
4073,3,0
29,0,2
38,1,2
3946,2,3
30,0,5
555,1,3
592,1,1
2456,1,3
2517,1,2
2683,1,2
31,0,5
2533,9,3
2571,1,0
4074,2,0
5704,1,0
5705,1,0
32,0,4
369,1,5
2430,1,2
2655,3,0
4075,1,0
33,0,4
57,1,1
2428,1,2
4076,1,0
4442,5,0
34,0,7
556,1,2
2454,2,2
2663,2,1
5682,2,0
5762,3,0
6606,1,0
6607,1,0
35,0,2
1278,1,2
4077,2,0
36,0,3
288,1,4
2444,1,4
2504,1,4
37,0,4
4236,5,0
4452,2,0
224,1,1
4078,2,0
39,0,5
80,1,6
486,1,6
4168,5,0
4226,2,0
4227,2,0
40,0,9
62,2,4
149,2,5
243,2,1
264,1,1
272,2,1
493,5,1
